method,n,success_rate,return_mean,return_std,safety_violations_mean,recoveries_attempted_mean,recovery_success_rate,time_to_recover_mean,planning_ms_mean
gatsr_full,48,0,-3.988380268216133,0.2566181230648622,16.208333333333332,1.4166666666666667,0.9117647058823529,13.972222222222221,5.4040668382407695
gatsr_no_rec,48,0,-3.494813029964765,0.25206142408372156,0,0,0.0,-1.0,6.306517211740593
mppi,48,0,-3.494813029964765,0.25206142408372156,0,0,0.0,-1.0,7.405319853683868
random,48,0,-4.824694067239761,0.18396056045446124,0,0,0.0,-1.0,0.0
