method,seed,ood_level,episode,steps,ep_return,success,failures_detected,recoveries_attempted,recoveries_succeeded,safety_violations,time_to_recover,planning_ms
random,2,0.0,8,62,-50.40059568247131,0,0,0,0,0,-1.0,0.0
random,2,0.0,9,45,19.93477147753093,0,0,0,0,0,-1.0,0.0
random,2,0.5,0,44,-70.31011389899189,0,0,0,0,0,-1.0,0.0
random,2,0.5,1,49,-64.35186990126046,0,0,0,0,0,-1.0,0.0
random,2,0.5,2,26,-85.01739785280787,0,0,0,0,0,-1.0,0.0
random,2,0.5,3,53,-63.415639222842486,0,0,0,0,0,-1.0,0.0
random,2,0.5,4,41,-81.67262215483737,0,0,0,0,0,-1.0,0.0
random,2,0.5,5,47,-72.93146543976027,0,0,0,0,0,-1.0,0.0
random,2,0.5,6,31,-75.20253968552518,0,0,0,0,0,-1.0,0.0
random,2,0.5,7,51,-20.573734248362754,0,0,0,0,0,-1.0,0.0
random,2,0.5,8,32,-75.88904177454737,0,0,0,0,0,-1.0,0.0
random,2,0.5,9,28,10.233289211713398,0,0,0,0,0,-1.0,0.0
random,2,1.0,0,46,-68.63312804685447,0,0,0,0,0,-1.0,0.0
random,2,1.0,1,44,-68.4492961377299,0,0,0,0,0,-1.0,0.0
random,2,1.0,2,29,-82.75252534999352,0,0,0,0,0,-1.0,0.0
random,2,1.0,3,47,-68.21020454758755,0,0,0,0,0,-1.0,0.0
random,2,1.0,4,31,-86.24334320295166,0,0,0,0,0,-1.0,0.0
random,2,1.0,5,54,-69.88595047901606,0,0,0,0,0,-1.0,0.0
random,2,1.0,6,32,-74.6296567646606,0,0,0,0,0,-1.0,0.0
random,2,1.0,7,42,-22.247656082391785,0,0,0,0,0,-1.0,0.0
random,2,1.0,8,31,-79.18647509852356,0,0,0,0,0,-1.0,0.0
random,2,1.0,9,28,13.837546513069668,0,0,0,0,0,-1.0,0.0
lqr,0,0.0,0,206,315.4793253848867,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,1,136,254.97731461441902,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,2,159,97.73473525464152,0,0,0,0,0,-1.0,0.0
lqr,0,0.0,3,205,316.79639250255957,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,4,231,328.87768510190824,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,5,219,324.95392438653465,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,6,153,282.0581702333567,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,7,154,283.078061746497,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,8,198,312.42185210886805,1,0,0,0,0,-1.0,0.0
lqr,0,0.0,9,108,231.9041655235522,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,0,208,317.4116294469897,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,1,148,265.1299359322283,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,2,152,98.52627877629575,0,0,0,0,0,-1.0,0.0
lqr,0,0.5,3,206,318.0367508545158,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,4,225,322.4360519141108,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,5,217,322.9165404034654,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,6,160,288.2482601561826,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,7,156,285.1743175338953,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,8,200,314.1796086735352,1,0,0,0,0,-1.0,0.0
lqr,0,0.5,9,112,234.95299433619675,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,0,224,332.75827832323813,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,1,159,275.7532778660916,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,2,145,94.38506966549483,0,0,0,0,0,-1.0,0.0
lqr,0,1.0,3,196,308.330774162742,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,4,229,325.6615488900186,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,5,210,316.63083669593743,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,6,164,291.87542191634503,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,7,155,283.83990644076107,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,8,195,309.6618249905274,1,0,0,0,0,-1.0,0.0
lqr,0,1.0,9,112,234.9666999727606,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,0,136,254.97731461441902,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,1,159,97.73473525464152,0,0,0,0,0,-1.0,0.0
lqr,1,0.0,2,205,316.79639250255957,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,3,231,328.87768510190824,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,4,219,324.95392438653465,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,5,153,282.0581702333567,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,6,154,283.078061746497,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,7,198,312.42185210886805,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,8,108,231.9041655235522,1,0,0,0,0,-1.0,0.0
lqr,1,0.0,9,180,297.3111759371523,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,0,148,265.1299359322283,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,1,152,98.52627877629575,0,0,0,0,0,-1.0,0.0
lqr,1,0.5,2,206,318.0367508545158,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,3,225,322.4360519141108,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,4,217,322.9165404034654,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,5,160,288.2482601561826,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,6,156,285.1743175338953,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,7,200,314.1796086735352,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,8,112,234.95299433619675,1,0,0,0,0,-1.0,0.0
lqr,1,0.5,9,182,299.71672971787063,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,0,159,275.7532778660916,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,1,145,94.38506966549483,0,0,0,0,0,-1.0,0.0
lqr,1,1.0,2,196,308.330774162742,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,3,229,325.6615488900186,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,4,210,316.63083669593743,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,5,164,291.87542191634503,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,6,155,283.83990644076107,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,7,195,309.6618249905274,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,8,112,234.9666999727606,1,0,0,0,0,-1.0,0.0
lqr,1,1.0,9,144,107.48059691735644,0,0,0,0,0,-1.0,0.0
lqr,2,0.0,0,159,97.73473525464152,0,0,0,0,0,-1.0,0.0
lqr,2,0.0,1,205,316.79639250255957,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,2,231,328.87768510190824,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,3,219,324.95392438653465,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,4,153,282.0581702333567,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,5,154,283.078061746497,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,6,198,312.42185210886805,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,7,108,231.9041655235522,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,8,180,297.3111759371523,1,0,0,0,0,-1.0,0.0
lqr,2,0.0,9,119,240.35457857799642,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,0,152,98.52627877629575,0,0,0,0,0,-1.0,0.0
lqr,2,0.5,1,206,318.0367508545158,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,2,225,322.4360519141108,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,3,217,322.9165404034654,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,4,160,288.2482601561826,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,5,156,285.1743175338953,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,6,200,314.1796086735352,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,7,112,234.95299433619675,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,8,182,299.71672971787063,1,0,0,0,0,-1.0,0.0
lqr,2,0.5,9,125,244.66749677427543,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,0,145,94.38506966549483,0,0,0,0,0,-1.0,0.0
lqr,2,1.0,1,196,308.330774162742,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,2,229,325.6615488900186,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,3,210,316.63083669593743,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,4,164,291.87542191634503,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,5,155,283.83990644076107,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,6,195,309.6618249905274,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,7,112,234.9666999727606,1,0,0,0,0,-1.0,0.0
lqr,2,1.0,8,144,107.48059691735644,0,0,0,0,0,-1.0,0.0
lqr,2,1.0,9,122,241.58738349813595,1,0,0,0,0,-1.0,0.0
mppi,0,0.0,0,51,-62.624953759956206,0,0,0,0,0,-1.0,19.622549019735672
mppi,0,0.0,1,39,-69.71253679292516,0,0,0,0,0,-1.0,19.26375897631097
mppi,0,0.0,2,37,-77.53386949946899,0,0,0,0,0,-1.0,18.222527031006443
mppi,0,0.0,3,38,-71.65214281498602,0,0,0,0,0,-1.0,18.77064737460674
mppi,0,0.0,4,42,-77.42703878152331,0,0,0,0,0,-1.0,23.918449996493845
mppi,0,0.0,5,46,-73.80818949436541,0,0,0,0,0,-1.0,18.8295173916824
mppi,0,0.0,6,53,-55.92157071643235,0,0,0,0,0,-1.0,18.38246414894765
mppi,0,0.0,7,45,-17.69729385518781,0,0,0,0,0,-1.0,18.028615559968685
mppi,0,0.0,8,42,-66.2742754126919,0,0,0,0,0,-1.0,16.570209524139674
mppi,0,0.0,9,71,38.02133549959112,0,0,0,0,0,-1.0,17.53656479159475
mppi,0,0.5,0,55,-59.203777414496244,0,0,0,0,0,-1.0,17.856836363419212
mppi,0,0.5,1,39,-69.86052558904281,0,0,0,0,0,-1.0,17.148623077306322
mppi,0,0.5,2,34,-79.58429437308993,0,0,0,0,0,-1.0,16.637126471751426
mppi,0,0.5,3,39,-70.81269344613932,0,0,0,0,0,-1.0,17.066582050831176
mppi,0,0.5,4,38,-79.84292906419476,0,0,0,0,0,-1.0,16.934036837866234
